"","basisOfRecord","scientificName","family","genus","decimalLongitude","decimalLatitude","stateProvince","year","month","country","catalogNumber","institutionCode","county","locality"
"29","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.29786,34.157684,"California",2021,1,"United States of America","OBS1041185465","CLO","Los Angeles","Bette Davis Picnic Area"
"30","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.17191,39.405434,"California",2021,1,"United States of America","OBS1042160218","CLO","Glenn","Sacramento NWR"
"31","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.620804,38.55179,"California",2021,1,"United States of America","OBS1041261697","CLO","Yolo","Yolo Bypass Wildlife Area"
"32","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.22812,32.750957,"California",2021,1,"United States of America","OBS1041146165","CLO","San Diego","Famosa Slough"
"33","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-116.91708,32.85833,"California",2021,1,"United States of America","OBS1041281422","CLO","San Diego","Lindo Lake"
"34","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84268,33.663727,"California",2021,1,"United States of America","OBS1041109125","CLO","Orange","IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine"
"35","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.065056,32.555016,"California",2021,1,"United States of America","OBS1043150072","CLO","San Diego","Dairy Mart Rd.--main pond"
"36","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84268,33.663727,"California",2021,1,"United States of America","OBS1041458226","CLO","Orange","IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine"
"37","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045135,33.696514,"California",2021,1,"United States of America","OBS1042429802","CLO","Orange","Bolsa Chica--walkbridge/inner bay"
"38","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.34608,40.575874,"California",2021,1,"United States of America","OBS1042787599","CLO","Humboldt","Russ Ranch Wetlands"
"39","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.39456,41.51629,"California",2021,1,"United States of America","OBS1043423168","CLO","Siskiyou","Lake Shastina"
"40","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.71734,38.044,"California",2021,1,"United States of America","OBS1041793352","CLO","Sacramento","Sherman Island--East Levee Rd."
"41","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.21255,40.73837,"California",2021,1,"United States of America","OBS1043568611","CLO","Humboldt","407 King Salmon Avenue, Eureka, California, US (40.738, -124.213)"
"42","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.21136,40.684887,"California",2021,1,"United States of America","OBS1043577014","CLO","Humboldt","Humboldt Bay NWR--Salmon Creek Unit"
"43","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.47562,34.169453,"California",2021,1,"United States of America","OBS1041238911","CLO","Los Angeles","Los Angeles River--Sepulveda Basin"
"44","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.095245,40.859188,"California",2021,1,"United States of America","OBS1041684961","CLO","Humboldt","Arcata Marsh and Wildlife Sanctuary, Arcata US-CA 40.85919, -124.09524"
"45","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.228,37.06011,"California",2021,1,"United States of America","OBS1045355593","CLO","Inyo","Tinemaha Reservoir"
"46","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-115.5204,33.211884,"California",2021,1,"United States of America","OBS1041337875","CLO","Imperial","Imperial Irrigation District Wetland Project--Niland"
"47","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.050735,33.702652,"California",2021,1,"United States of America","OBS1042330011","CLO","Orange","Bolsa Chica Ecological Reserve"
"48","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1046612794","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail"
"49","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1042366662","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail"
"50","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.34328,33.82865,"California",2021,1,"United States of America","OBS1045067293","CLO","Los Angeles","Madrona Marsh"
"51","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.8756,34.4136,"California",2021,1,"United States of America","OBS1047766233","CLO","Santa Barbara","Devereux Slough"
"52","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.25007,37.521053,"California",2021,1,"United States of America","OBS1046535674","CLO","San Mateo","Nob Hill Pond"
"53","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.51554,37.93353,"California",2021,1,"United States of America","OBS1042520751","CLO","Marin","Shorebird Marsh overlook"
"54","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.155785,38.094173,"California",2021,1,"United States of America","OBS1042644203","CLO","Solano","Lake Herman"
"55","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.52661,37.88382,"California",2021,1,"United States of America","OBS1043185491","CLO","Marin","Greene Street"
"56","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.96148,37.433464,"California",2021,1,"United States of America","OBS1045005286","CLO","Santa Clara","Don Edwards NWR--entrance road (Grand Blvd.) between tracks and gate"
"57","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1045337761","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail"
"58","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.238945,32.75642,"California",2021,1,"United States of America","OBS1042712688","CLO","San Diego","San Diego River--Robb Field & mudflats"
"59","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.469246,38.118736,"California",2021,1,"United States of America","OBS1042759109","CLO","San Joaquin","Woodbridge Road"
"60","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.370766,34.009804,"California",2021,1,"United States of America","OBS1044524974","CLO","Los Angeles","Kenneth Hahn SRA--Gwen Moore Lake"
"61","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.620804,38.55179,"California",2021,1,"United States of America","OBS1043308846","CLO","Yolo","Yolo Bypass Wildlife Area"
"62","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.34608,40.575874,"California",2021,1,"United States of America","OBS1042217666","CLO","Humboldt","Russ Ranch Wetlands"
"63","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.62203,37.167942,"California",2021,1,"United States of America","OBS1045364373","CLO","Merced","Merced NWR--Auto Loop"
"64","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045135,33.696514,"California",2021,1,"United States of America","OBS1045441890","CLO","Orange","Bolsa Chica--walkbridge/inner bay"
"65","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.08151,34.09919,"California",2021,1,"United States of America","OBS1047935534","CLO","Ventura","Mugu Lagoon--east arm"
"66","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.96053,37.43391,"California",2021,1,"United States of America","OBS1043840872","CLO","Santa Clara","Alviso (Don Edwards) EEC"
"67","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.199974,37.6725,"California",2021,1,"United States of America","OBS1051350275","CLO","Stanislaus","San Joaquin River NWR--Page/Goose/Miller lakes (restricted access)"
"68","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.25007,37.521053,"California",2021,1,"United States of America","OBS1044299791","CLO","San Mateo","Nob Hill Pond"
"69","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045135,33.696514,"California",2021,1,"United States of America","OBS1044714898","CLO","Orange","Bolsa Chica--walkbridge/inner bay"
"70","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.69042,37.920986,"California",2021,1,"United States of America","OBS1047159482","CLO","Marin","Bolinas Lagoon--Pine Gulch"
"71","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1043515405","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail"
"72","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.71734,38.044,"California",2021,1,"United States of America","OBS1046106521","CLO","Sacramento","Sherman Island--East Levee Rd."
"73","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.9286,38.967003,"California",2021,1,"United States of America","OBS1049800870","CLO","Colusa","Border Tule Wildlife Habitat (private - view from White Rd)"
"74","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.71078,39.494186,"California",2021,1,"United States of America","OBS1044574660","CLO","Butte","Richvale Hwy--Richvale East Rd."
"75","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.07632,41.26337,"California",2021,1,"United States of America","OBS1045312330","CLO","Humboldt","Redwood National Park-West Side Road"
"76","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.43184,38.275787,"California",2021,1,"United States of America","OBS1048018351","CLO","Sacramento","Desmond Rd."
"77","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.838585,35.344837,"California",2021,1,"United States of America","OBS1051543830","CLO","San Luis Obispo","Morro Bay State Park, Morro Bay US-CA 35.34484, -120.83859"
"78","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.1558,37.64533,"California",2021,1,"United States of America","OBS1045826513","CLO","Alameda","Hayward Regional Shoreline--Hayward's Landing"
"79","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.34175,33.829006,"California",2021,1,"United States of America","OBS1047314277","CLO","Los Angeles","Madrona Marsh Preserve, Torrance US-CA 33.82901, -118.34175"
"80","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045135,33.696514,"California",2021,1,"United States of America","OBS1045822895","CLO","Orange","Bolsa Chica--walkbridge/inner bay"
"81","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-115.709625,33.07576,"California",2021,1,"United States of America","OBS1041403756","CLO","Imperial","Sonny Bono Salton Sea NWR--Vendel Rd."
"82","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045395,33.707493,"California",2021,1,"United States of America","OBS1041741544","CLO","Orange","Bolsa Chica--Brightwater area"
"83","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.72099,39.57322,"California",2021,1,"United States of America","OBS1052460065","CLO","Butte","Nelson road"
"84","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.228,37.06011,"California",2021,1,"United States of America","OBS1045035186","CLO","Inyo","Tinemaha Reservoir"
"85","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.541824,39.208397,"California",2021,1,"United States of America","OBS1046414101","CLO","Yuba","District 10--Kimball Ln."
"86","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.050735,33.702652,"California",2021,1,"United States of America","OBS1041329309","CLO","Orange","Bolsa Chica Ecological Reserve"
"87","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.34608,40.575874,"California",2021,1,"United States of America","OBS1041454049","CLO","Humboldt","Russ Ranch Wetlands"
"88","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.43949,38.265823,"California",2021,1,"United States of America","OBS1041577106","CLO","Sacramento","Cosumnes River Preserve"
"89","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.95225,38.11906,"California",2021,1,"United States of America","OBS1041800139","CLO","Marin","Pt. Reyes--Abbotts Lagoon"
"90","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.065056,32.555016,"California",2021,1,"United States of America","OBS1045733687","CLO","San Diego","Dairy Mart Rd.--main pond"
"91","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.04418,39.186443,"California",2021,1,"United States of America","OBS1041703547","CLO","Colusa","Colusa NWR"
"92","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.1517,37.641933,"California",2021,1,"United States of America","OBS1053199396","CLO","Alameda","Hayward Regional Shoreline"
"93","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.74247,36.840477,"California",2021,1,"United States of America","OBS1042432411","CLO","Monterey","Elkhorn Slough--Estrada & North marsh and/or Kirby Park"
"94","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.375854,35.90652,"California",2021,1,"United States of America","OBS1050990111","CLO","Tulare","Pixley NWR"
"95","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.89564,38.030785,"California",2021,1,"United States of America","OBS1051155199","CLO","Marin","Pt. Reyes--Limantour Estuary"
"96","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.73633,38.04255,"California",2021,1,"United States of America","OBS1046102451","CLO","Sacramento","Sherman Island X Rd"
"97","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.050735,33.702652,"California",2021,1,"United States of America","OBS1046640274","CLO","Orange","Bolsa Chica Ecological Reserve"
"98","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84268,33.663727,"California",2021,1,"United States of America","OBS1042418667","CLO","Orange","IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine"
"99","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.11818,34.79012,"California",2021,1,"United States of America","OBS1042639734","CLO","Los Angeles","Piute Ponds (permit required)"
"100","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.09362,40.861343,"California",2021,1,"United States of America","OBS1045048067","CLO","Humboldt","Arcata Marsh--Brackish Pond"
"101","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045395,33.707493,"California",2021,1,"United States of America","OBS1041439838","CLO","Orange","Bolsa Chica--Brightwater area"
"102","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.33984,38.76385,"California",2021,1,"United States of America","OBS1043891185","CLO","Placer","Mahany Park Open Space"
"103","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.835754,33.66789,"California",2021,1,"United States of America","OBS1042216677","CLO","Orange","San Joaquin WS - San Diego Creek"
"104","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.8185,36.871284,"California",2021,1,"United States of America","OBS1047822320","CLO","Santa Cruz","Watsonville Slough at Shell Rd"
"105","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.21136,40.684887,"California",2021,1,"United States of America","OBS1043764563","CLO","Humboldt","Humboldt Bay NWR--Salmon Creek Unit"
"106","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.27252,33.003815,"California",2021,1,"United States of America","OBS1043960132","CLO","San Diego","Annie's Canyon Trailhead"
"107","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.186584,39.430435,"California",2021,1,"United States of America","OBS1054855755","CLO","Glenn","Sacramento National Wildlife Refuge, Willows US-CA 39.43044, -122.18658"
"108","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.21255,40.73837,"California",2021,1,"United States of America","OBS1043774010","CLO","Humboldt","407 King Salmon Avenue, Eureka, California, US (40.738, -124.213)"
"109","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.050735,33.702652,"California",2021,1,"United States of America","OBS1044700551","CLO","Orange","Bolsa Chica Ecological Reserve"
"110","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.24738,37.752598,"California",2021,1,"United States of America","OBS1041256830","CLO","Alameda","Elsie Roemer Bird Sanctuary"
"111","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.050735,33.702652,"California",2021,1,"United States of America","OBS1041378457","CLO","Orange","Bolsa Chica Ecological Reserve"
"112","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.238945,32.75642,"California",2021,1,"United States of America","OBS1045972232","CLO","San Diego","San Diego River--Robb Field & mudflats"
"113","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.117874,33.767723,"California",2021,1,"United States of America","OBS1047915952","CLO","Los Angeles","Sim's Pond Bio Preserve"
"114","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.52174,38.070225,"California",2021,1,"United States of America","OBS1052358106","CLO","Marin","Hamilton Field Bay Trail"
"115","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.8756,34.4136,"California",2021,1,"United States of America","OBS1047755211","CLO","Santa Barbara","Devereux Slough"
"116","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.09099,37.560326,"California",2021,1,"United States of America","OBS1043761893","CLO","Alameda","Coyote Hills Regional Park--North Pond"
"117","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.38379,37.723732,"California",2021,1,"United States of America","OBS1043785103","CLO","San Francisco","Candlestick SRA--Yosemite Slough restoration"
"118","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.222855,32.938435,"California",2021,1,"United States of America","OBS1041271371","CLO","San Diego","Shaw Valley"
"119","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.08245,33.981018,"California",2021,1,"United States of America","OBS1052902549","CLO","Los Angeles","San Gabriel Coastal Basin Spreading Grounds"
"120","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.21724,37.625042,"California",2021,1,"United States of America","OBS1044535223","CLO","Stanislaus","Pelican Rd.--flood plain"
"121","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.22184,32.759228,"California",2021,1,"United States of America","OBS1044310162","CLO","San Diego","San Diego River--estuary (Old Sea World Dr.)"
"122","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.840965,33.661674,"California",2021,1,"United States of America","OBS1042110591","CLO","Orange","San Joaquin WS - Pond E"
"123","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.84825,35.321102,"California",2021,1,"United States of America","OBS1048718833","CLO","San Luis Obispo","Doris Street Coastal Access"
"124","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.3118,37.89233,"California",2021,1,"United States of America","OBS1047128200","CLO","Alameda","Albany Mudflats"
"125","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8238,35.34141,"California",2021,1,"United States of America","OBS1044467168","CLO","San Luis Obispo","Park Ridge Trail Parking Area (use for viewing estuary)"
"126","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84268,33.663727,"California",2021,1,"United States of America","OBS1043830421","CLO","Orange","IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine"
"127","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.620804,38.55179,"California",2021,1,"United States of America","OBS1056628845","CLO","Yolo","Yolo Bypass Wildlife Area"
"128","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.25007,37.521053,"California",2021,1,"United States of America","OBS1045359530","CLO","San Mateo","Nob Hill Pond"
"129","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.24738,37.752598,"California",2021,1,"United States of America","OBS1041731303","CLO","Alameda","Elsie Roemer Bird Sanctuary"
"130","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.238945,32.75642,"California",2021,1,"United States of America","OBS1051356687","CLO","San Diego","San Diego River--Robb Field & mudflats"
"131","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.17413,38.059185,"California",2021,1,"United States of America","OBS1042722525","CLO","Solano","Ninth Street Park"
