"","flight_joined.origin","flight_joined.year","flight_joined.month","flight_joined.day"
"113","JFK",2013,5,27
"114","EWR",2013,10,4
"115","LGA",2013,4,14
"116","LGA",2013,7,17
"117","LGA",2013,9,28
"118","JFK",2013,8,16
"119","JFK",2013,10,8
"120","EWR",2013,3,11
"121","LGA",2013,1,5
"122","EWR",2013,5,1
"123","LGA",2013,10,5
"124","JFK",2013,6,4
"125","EWR",2013,10,10
"126","LGA",2013,9,12
"127","EWR",2013,1,22
"128","EWR",2013,7,7
"129","LGA",2013,3,22
"130","EWR",2013,8,5
"131","EWR",2013,3,8
"132","JFK",2013,6,24
"133","LGA",2013,3,20
"134","LGA",2013,9,29
"135","EWR",2013,5,1
"136","LGA",2013,8,17
"137","EWR",2013,11,1
"138","JFK",2013,3,31
"139","LGA",2013,10,22
"140","JFK",2013,6,22
"141","LGA",2013,2,12
"142","JFK",2013,5,11
"143","JFK",2013,6,8
"144","JFK",2013,4,14
"145","LGA",2013,7,14
"146","EWR",2013,5,25
"147","LGA",2013,9,11
"148","EWR",2013,9,19
"149","EWR",2013,10,10
"150","LGA",2013,3,31
"151","JFK",2013,10,1
"152","LGA",2013,4,30
"153","JFK",2013,10,27
"154","LGA",2013,2,14
"155","EWR",2013,8,10
"156","JFK",2013,11,3
"157","JFK",2013,12,28
"158","EWR",2013,5,1
"159","EWR",2013,4,26
"160","EWR",2013,10,2
"161","LGA",2013,5,8
"162","LGA",2013,9,11
"163","LGA",2013,10,23
"164","JFK",2013,6,4
"165","JFK",2013,6,25
"166","EWR",2013,11,6
"167","JFK",2013,7,27
"168","EWR",2013,8,3
"169","JFK",2013,5,10
"170","JFK",2013,5,18
"171","EWR",2013,4,7
"172","JFK",2013,6,16
"173","LGA",2013,6,14
"174","EWR",2013,7,13
"175","LGA",2013,2,22
"176","JFK",2013,11,1
"177","EWR",2013,5,6
"178","LGA",2013,12,22
"179","EWR",2013,1,25
"180","LGA",2013,10,21
"181","LGA",2013,3,21
"182","JFK",2013,11,16
"183","LGA",2013,12,21
"184","JFK",2013,4,29
"185","EWR",2013,6,21
"186","EWR",2013,9,30
"187","LGA",2013,11,25
"188","EWR",2013,3,1
"189","LGA",2013,3,29
"190","JFK",2013,3,3
"191","LGA",2013,1,19
"192","EWR",2013,7,18
"193","EWR",2013,6,9
"194","LGA",2013,10,16
"195","EWR",2013,9,20
"196","EWR",2013,6,12
"197","EWR",2013,4,12
"198","EWR",2013,8,7
"199","EWR",2013,11,15
"200","LGA",2013,9,10
"201","EWR",2013,3,11
"202","EWR",2013,6,25
"203","JFK",2013,4,18
"204","EWR",2013,12,8
"205","EWR",2013,12,8
"206","JFK",2013,10,28
"207","EWR",2013,2,26
"208","LGA",2013,10,31
"209","LGA",2013,4,4
"210","EWR",2013,6,2
"211","LGA",2013,10,5
"212","LGA",2013,2,6
"213","LGA",2013,1,27
"214","LGA",2013,1,25
"215","EWR",2013,10,27
"216","EWR",2013,2,5
"217","LGA",2013,10,9
"218","LGA",2013,1,6
"219","EWR",2013,6,14
"220","LGA",2013,9,12
"221","LGA",2013,2,21
"222","JFK",2013,10,4
"223","LGA",2013,12,5
"224","EWR",2013,6,7
"225","EWR",2013,7,9
"226","JFK",2013,5,15
"227","LGA",2013,12,4
"228","EWR",2013,4,16
"229","EWR",2013,2,22
"230","LGA",2013,12,23
"231","LGA",2013,7,12
"232","JFK",2013,6,20
"233","LGA",2013,6,12
"234","JFK",2013,12,2
"235","LGA",2013,10,15
"236","LGA",2013,8,19
"237","EWR",2013,10,25
"238","JFK",2013,10,1
"239","LGA",2013,11,17
"240","EWR",2013,5,3
"241","LGA",2013,9,3
"242","LGA",2013,8,30
"243","LGA",2013,2,10
"244","EWR",2013,8,19
"245","EWR",2013,8,11
"246","JFK",2013,4,1
"247","EWR",2013,2,1
"248","LGA",2013,11,13
"249","EWR",2013,12,5
"250","EWR",2013,3,24
"251","JFK",2013,2,3
"252","EWR",2013,4,23
"253","JFK",2013,10,18
"254","LGA",2013,12,12
"255","EWR",2013,3,22
"256","JFK",2013,3,23
"257","LGA",2013,12,16
"258","EWR",2013,10,9
"259","EWR",2013,2,27
"260","EWR",2013,3,7
"261","LGA",2013,4,22
"262","LGA",2013,11,19
"263","LGA",2013,12,14
"264","LGA",2013,10,24
"265","JFK",2013,2,11
"266","JFK",2013,10,10
"267","LGA",2013,1,31
"268","JFK",2013,8,7
"269","LGA",2013,2,11
"270","JFK",2013,9,27
"271","EWR",2013,4,13
"272","EWR",2013,9,24
"273","LGA",2013,3,23
"274","EWR",2013,3,14
"275","JFK",2013,10,24
"276","EWR",2013,8,9
"277","JFK",2013,4,30
"278","EWR",2013,5,27
"279","JFK",2013,7,21
"280","JFK",2013,3,30
"281","EWR",2013,9,20
"282","EWR",2013,2,9
"283","JFK",2013,7,22
"284","JFK",2013,7,29
"285","LGA",2013,11,22
"286","LGA",2013,12,30
"287","EWR",2013,7,2
"288","JFK",2013,5,22
"289","JFK",2013,10,4
"290","LGA",2013,7,25
"291","LGA",2013,10,5
"292","JFK",2013,6,9
"293","LGA",2013,1,8
"294","EWR",2013,5,20
"295","EWR",2013,9,22
"296","EWR",2013,11,17
"297","JFK",2013,10,26
"298","EWR",2013,3,18
"299","EWR",2013,4,8
"300","JFK",2013,8,9
"301","EWR",2013,1,20
"302","EWR",2013,6,30
"303","EWR",2013,8,12
"304","EWR",2013,9,11
"305","JFK",2013,11,15
"306","EWR",2013,7,15
"307","LGA",2013,11,20
"308","EWR",2013,10,1
"309","EWR",2013,7,2
"310","JFK",2013,1,9
"311","JFK",2013,1,3
"312","JFK",2013,6,28
"313","LGA",2013,12,20
"314","EWR",2013,6,15
"315","EWR",2013,8,22
"316","EWR",2013,6,12
"317","EWR",2013,4,10
"318","EWR",2013,1,19
"319","EWR",2013,3,25
"320","LGA",2013,6,24
"321","LGA",2013,10,4
"322","LGA",2013,5,5
"323","JFK",2013,3,17
"324","JFK",2013,5,10
"325","EWR",2013,2,5
"326","LGA",2013,3,14
"327","LGA",2013,2,22
"328","EWR",2013,4,27
"329","LGA",2013,8,9
"330","EWR",2013,3,6
"331","EWR",2013,9,1
"332","EWR",2013,8,18
"333","JFK",2013,5,6
"334","JFK",2013,5,27
"335","JFK",2013,11,14
"336","EWR",2013,9,5
"337","LGA",2013,7,18
"338","EWR",2013,4,16
"339","EWR",2013,9,22
"340","EWR",2013,1,26
"341","EWR",2013,11,12
"342","JFK",2013,7,20
"343","EWR",2013,8,27
"344","LGA",2013,5,5
"345","EWR",2013,11,13
"346","JFK",2013,10,21
"347","JFK",2013,12,18
"348","LGA",2013,11,19
"349","EWR",2013,9,30
"350","EWR",2013,3,29
"351","LGA",2013,5,2
"352","EWR",2013,11,29
"353","EWR",2013,12,3
"354","EWR",2013,6,23
"355","EWR",2013,3,29
"356","EWR",2013,9,5
"357","LGA",2013,12,24
"358","LGA",2013,10,30
"359","JFK",2013,6,16
"360","JFK",2013,10,8
"361","JFK",2013,6,27
"362","JFK",2013,5,17
"363","LGA",2013,1,29
"364","LGA",2013,10,26
"365","EWR",2013,8,15
"366","JFK",2013,4,26
"367","EWR",2013,1,17
"368","EWR",2013,3,29
"369","EWR",2013,4,24
"370","JFK",2013,1,19
"371","LGA",2013,9,17
"372","LGA",2013,12,8
"373","EWR",2013,3,25
"374","LGA",2013,6,15
"375","EWR",2013,2,10
"376","LGA",2013,3,11
"377","LGA",2013,4,30
"378","EWR",2013,10,22
"379","LGA",2013,5,24
"380","JFK",2013,6,18
"381","JFK",2013,11,16
"382","EWR",2013,1,20
"383","EWR",2013,7,29
"384","EWR",2013,3,7
"385","LGA",2013,8,5
"386","JFK",2013,9,13
"387","LGA",2013,3,21
"388","EWR",2013,10,3
"389","EWR",2013,8,15
"390","EWR",2013,9,30
"391","LGA",2013,9,17
"392","JFK",2013,11,29
"393","JFK",2013,4,15
"394","EWR",2013,7,2
"395","LGA",2013,10,1
"396","EWR",2013,2,20
"397","EWR",2013,8,11
"398","LGA",2013,6,19
"399","EWR",2013,1,21
"400","EWR",2013,10,7
"401","EWR",2013,6,30
"402","JFK",2013,7,13
"403","EWR",2013,10,26
"404","EWR",2013,10,11
"405","EWR",2013,3,26
"406","EWR",2013,9,25
"407","JFK",2013,2,3
"408","EWR",2013,2,25
"409","LGA",2013,2,10
"410","LGA",2013,9,18
"411","JFK",2013,11,5
"412","EWR",2013,12,21
"413","JFK",2013,4,10
"414","JFK",2013,2,12
"415","JFK",2013,12,25
"416","JFK",2013,11,5
"417","EWR",2013,1,5
"418","JFK",2013,10,10
"419","JFK",2013,5,10
"420","LGA",2013,12,21
"421","JFK",2013,6,22
"422","JFK",2013,9,18
"423","EWR",2013,6,16
"424","EWR",2013,5,22
"425","LGA",2013,10,21
"426","LGA",2013,12,20
"427","LGA",2013,10,15
"428","JFK",2013,4,26
"429","LGA",2013,10,4
"430","LGA",2013,5,20
"431","EWR",2013,10,28
"432","EWR",2013,10,24
"433","EWR",2013,10,13
"434","JFK",2013,9,19
"435","JFK",2013,8,3
"436","EWR",2013,6,26
"437","LGA",2013,7,11
"438","EWR",2013,11,14
"439","EWR",2013,4,30
"440","JFK",2013,10,23
"441","JFK",2013,5,22
"442","JFK",2013,8,13
"443","EWR",2013,10,2
"444","EWR",2013,12,19
"445","EWR",2013,11,23
"446","JFK",2013,10,26
"447","JFK",2013,10,3
"448","EWR",2013,6,4
"449","EWR",2013,3,4
"450","LGA",2013,10,29
"451","JFK",2013,11,21
"452","EWR",2013,7,5
"453","JFK",2013,11,28
"454","LGA",2013,12,20
"455","LGA",2013,10,18
"456","EWR",2013,12,5
"457","EWR",2013,7,15
"458","EWR",2013,7,1
"459","LGA",2013,10,26
"460","EWR",2013,12,25
"461","JFK",2013,8,31
"462","LGA",2013,7,3
"463","LGA",2013,4,23
"464","LGA",2013,2,28
"465","EWR",2013,8,14
"466","EWR",2013,2,2
"467","EWR",2013,5,7
"468","LGA",2013,7,31
"469","EWR",2013,3,3
"470","LGA",2013,1,29
"471","LGA",2013,1,24
"472","JFK",2013,9,23
"473","LGA",2013,6,14
"474","EWR",2013,10,31
"475","JFK",2013,6,8
"476","EWR",2013,7,9
"477","LGA",2013,1,30
"478","EWR",2013,7,22
"479","JFK",2013,6,16
"480","JFK",2013,1,18
"481","EWR",2013,9,29
"482","LGA",2013,5,3
"483","EWR",2013,6,5
"484","JFK",2013,12,17
"485","EWR",2013,6,24
"486","JFK",2013,6,23
"487","EWR",2013,3,26
"488","LGA",2013,2,12
"489","LGA",2013,8,10
"490","EWR",2013,7,19
"491","LGA",2013,9,15
"492","EWR",2013,10,14
"493","EWR",2013,12,13
"494","LGA",2013,8,5
"495","EWR",2013,1,19
"496","JFK",2013,9,4
"497","EWR",2013,2,5
"498","EWR",2013,1,17
"499","LGA",2013,9,10
"500","EWR",2013,5,20
"501","LGA",2013,12,22
"502","JFK",2013,4,25
"503","EWR",2013,10,18
"504","EWR",2013,10,19
"505","JFK",2013,1,2
"506","EWR",2013,5,15
"507","LGA",2013,5,25
"508","JFK",2013,8,12
"509","EWR",2013,4,15
"510","EWR",2013,12,29
"511","EWR",2013,10,1
"512","JFK",2013,2,27
"513","EWR",2013,2,7
"514","LGA",2013,6,21
"515","JFK",2013,9,17
"516","LGA",2013,4,8
"517","EWR",2013,9,13
"518","JFK",2013,12,22
"519","JFK",2013,4,27
"520","JFK",2013,3,10
"521","JFK",2013,3,19
"522","LGA",2013,2,21
"523","JFK",2013,8,28
"524","JFK",2013,8,1
"525","JFK",2013,2,23
"526","EWR",2013,6,19
"527","JFK",2013,10,10
"528","LGA",2013,9,19
"529","JFK",2013,2,25
"530","LGA",2013,11,14
"531","LGA",2013,11,4
"532","LGA",2013,9,11
"533","EWR",2013,1,3
"534","JFK",2013,6,26
"535","LGA",2013,5,28
"536","LGA",2013,3,8
"537","EWR",2013,5,10
"538","LGA",2013,7,4
"539","JFK",2013,8,1
"540","LGA",2013,9,2
"541","JFK",2013,11,2
"542","LGA",2013,11,22
"543","EWR",2013,3,11
"544","EWR",2013,4,4
"545","EWR",2013,6,10
"546","JFK",2013,7,14
"547","EWR",2013,10,13
"548","EWR",2013,4,30
"549","JFK",2013,7,8
"550","LGA",2013,3,15
"551","EWR",2013,9,1
"552","JFK",2013,6,24
"553","JFK",2013,3,8
"554","LGA",2013,5,13
"555","EWR",2013,10,27
"556","LGA",2013,9,25
"557","EWR",2013,10,10
"558","EWR",2013,8,5
"559","EWR",2013,6,24
"560","LGA",2013,5,29
"561","LGA",2013,8,15
"562","JFK",2013,1,7
"563","LGA",2013,11,20
"564","JFK",2013,10,18
"565","LGA",2013,5,6
"566","EWR",2013,10,23
"567","LGA",2013,10,19
"568","EWR",2013,11,18
"569","JFK",2013,11,1
"570","JFK",2013,3,11
"571","EWR",2013,4,8
"572","JFK",2013,2,20
"573","EWR",2013,4,1
"574","LGA",2013,2,6
"575","LGA",2013,12,23
"576","EWR",2013,8,9
"577","JFK",2013,2,10
"578","JFK",2013,8,18
"579","LGA",2013,9,17
"580","JFK",2013,7,18
"581","EWR",2013,2,14
"582","LGA",2013,2,15
"583","EWR",2013,10,31
"584","JFK",2013,5,29
"585","EWR",2013,1,30
"586","JFK",2013,4,9
"587","LGA",2013,2,26
"588","JFK",2013,10,7
"589","JFK",2013,8,9
"590","JFK",2013,1,5
"591","EWR",2013,10,19
"592","LGA",2013,3,19
"593","JFK",2013,11,29
"594","LGA",2013,8,23
"595","JFK",2013,1,25
"596","EWR",2013,10,14
"597","JFK",2013,3,20
"598","EWR",2013,3,28
"599","JFK",2013,6,17
"600","EWR",2013,9,25
"601","JFK",2013,12,9
"602","EWR",2013,4,17
"603","EWR",2013,5,17
"604","LGA",2013,6,22
"605","EWR",2013,11,15
"606","JFK",2013,8,13
"607","LGA",2013,1,18
"608","LGA",2013,3,15
"609","LGA",2013,9,4
"610","EWR",2013,6,9
"611","JFK",2013,9,13
"612","LGA",2013,10,10
"613","JFK",2013,1,31
"614","JFK",2013,10,2
"615","LGA",2013,9,22
"616","EWR",2013,11,2
"617","EWR",2013,7,22
"618","LGA",2013,9,22
"619","EWR",2013,10,28
"620","JFK",2013,10,13
"621","EWR",2013,6,16
"622","EWR",2013,3,1
"623","JFK",2013,7,17
"624","LGA",2013,7,16
"625","JFK",2013,6,3
"626","LGA",2013,4,22
"627","EWR",2013,6,22
"628","JFK",2013,8,16
"629","LGA",2013,8,5
"630","LGA",2013,10,7
"631","EWR",2013,5,19
"632","LGA",2013,8,5
"633","JFK",2013,2,2
"634","EWR",2013,11,5
"635","LGA",2013,12,25
"636","LGA",2013,5,29
"637","EWR",2013,1,12
"638","JFK",2013,12,2
"639","JFK",2013,2,19
"640","EWR",2013,4,9
"641","JFK",2013,9,26
"642","EWR",2013,3,1
"643","JFK",2013,1,8
"644","EWR",2013,2,4
"645","EWR",2013,8,17
"646","LGA",2013,7,7
"647","EWR",2013,11,11
"648","JFK",2013,8,15
"649","EWR",2013,12,5
"650","EWR",2013,5,1
"651","JFK",2013,12,24
"652","EWR",2013,3,11
"653","LGA",2013,2,27
"654","JFK",2013,7,13
"655","LGA",2013,11,18
"656","JFK",2013,7,20
"657","EWR",2013,11,28
"658","JFK",2013,1,19
"659","JFK",2013,4,15
"660","EWR",2013,9,13
"661","JFK",2013,9,3
"662","LGA",2013,12,28
"663","LGA",2013,1,24
"664","LGA",2013,12,14
"665","LGA",2013,4,1
"666","EWR",2013,4,30
"667","EWR",2013,5,2
"668","JFK",2013,10,19
"669","EWR",2013,7,3
"670","EWR",2013,10,1
"671","EWR",2013,7,8
"672","EWR",2013,10,9
"673","JFK",2013,5,28
"674","EWR",2013,6,22
"675","LGA",2013,1,7
"676","LGA",2013,11,10
"677","LGA",2013,12,4
"678","EWR",2013,4,7
"679","LGA",2013,11,13
"680","LGA",2013,9,22
"681","LGA",2013,10,18
"682","LGA",2013,4,9
"683","LGA",2013,1,19
"684","EWR",2013,2,16
"685","EWR",2013,2,17
"686","JFK",2013,10,20
"687","LGA",2013,5,11
"688","EWR",2013,2,5
"689","LGA",2013,4,23
"690","LGA",2013,5,10
"691","JFK",2013,10,11
"692","LGA",2013,10,22
"693","LGA",2013,9,2
"694","JFK",2013,5,29
"695","LGA",2013,4,26
"696","EWR",2013,5,30
"697","JFK",2013,2,17
"698","JFK",2013,1,23
"699","JFK",2013,3,4
"700","EWR",2013,2,15
"701","EWR",2013,9,27
"702","LGA",2013,3,3
"703","LGA",2013,7,4
"704","EWR",2013,12,28
"705","LGA",2013,10,5
"706","LGA",2013,2,25
"707","LGA",2013,11,28
"708","EWR",2013,9,15
"709","EWR",2013,8,19
"710","JFK",2013,7,24
"711","LGA",2013,3,22
"712","EWR",2013,11,22
"713","LGA",2013,6,2
"714","JFK",2013,5,11
"715","JFK",2013,6,5
"716","JFK",2013,6,15
"717","EWR",2013,7,8
"718","JFK",2013,10,30
"719","EWR",2013,2,23
"720","LGA",2013,4,29
"721","EWR",2013,2,28
"722","LGA",2013,8,8
"723","EWR",2013,7,24
"724","EWR",2013,5,28
"725","EWR",2013,4,23
"726","JFK",2013,12,22
"727","JFK",2013,11,23
"728","EWR",2013,12,20
"729","LGA",2013,2,27
"730","EWR",2013,7,27
"731","EWR",2013,6,10
"732","LGA",2013,2,22
"733","LGA",2013,3,21
"734","EWR",2013,3,31
"735","EWR",2013,1,16
"736","LGA",2013,7,2
"737","JFK",2013,9,1
"738","JFK",2013,12,19
"739","EWR",2013,3,31
"740","EWR",2013,9,8
"741","JFK",2013,12,7
"742","EWR",2013,7,7
"743","EWR",2013,2,3
"744","EWR",2013,5,2
"745","JFK",2013,3,9
"746","JFK",2013,3,19
"747","JFK",2013,4,12
"748","EWR",2013,12,16
"749","JFK",2013,1,13
"750","EWR",2013,8,3
"751","JFK",2013,10,22
"752","LGA",2013,4,29
"753","JFK",2013,7,5
"754","LGA",2013,2,25
"755","LGA",2013,5,20
"756","JFK",2013,4,11
"757","LGA",2013,5,23
"758","JFK",2013,4,26
"759","EWR",2013,8,9
"760","EWR",2013,5,3
"761","EWR",2013,5,28
"762","EWR",2013,12,3
"763","LGA",2013,2,20
"764","JFK",2013,3,23
"765","JFK",2013,3,11
"766","LGA",2013,11,2
"767","LGA",2013,8,4
"768","EWR",2013,2,24
"769","JFK",2013,9,30
"770","LGA",2013,12,19
"771","EWR",2013,8,16
"772","JFK",2013,7,16
"773","JFK",2013,5,24
"774","LGA",2013,7,20
"775","JFK",2013,11,26
"776","JFK",2013,6,5
"777","JFK",2013,12,9
"778","JFK",2013,12,1
"779","JFK",2013,10,3
"780","JFK",2013,9,21
"781","EWR",2013,7,2
"782","JFK",2013,1,5
"783","LGA",2013,2,9
"784","JFK",2013,10,15
"785","JFK",2013,6,15
"786","JFK",2013,7,18
"787","JFK",2013,10,27
"788","JFK",2013,1,14
"789","EWR",2013,10,27
"790","EWR",2013,7,22
"791","LGA",2013,6,12
"792","LGA",2013,3,6
"793","LGA",2013,10,11
"794","JFK",2013,11,4
"795","JFK",2013,4,25
"796","LGA",2013,11,15
"797","EWR",2013,7,28
"798","LGA",2013,9,11
"799","JFK",2013,2,17
"800","EWR",2013,5,21
"801","LGA",2013,7,4
"802","JFK",2013,9,12
"803","LGA",2013,3,12
"804","EWR",2013,5,6
"805","JFK",2013,7,3
"806","LGA",2013,1,31
"807","JFK",2013,6,18
"808","EWR",2013,11,9
"809","EWR",2013,9,1
"810","LGA",2013,3,2
"811","JFK",2013,4,14
"812","JFK",2013,3,6
"813","EWR",2013,4,24
"814","JFK",2013,7,4
"815","EWR",2013,4,18
"816","LGA",2013,3,17
"817","LGA",2013,2,5
"818","LGA",2013,9,1
"819","JFK",2013,3,27
"820","LGA",2013,4,24
"821","JFK",2013,12,6
"822","JFK",2013,11,8
"823","EWR",2013,7,11
"824","EWR",2013,2,21
"825","JFK",2013,9,23
"826","EWR",2013,7,30
"827","JFK",2013,4,17
"828","LGA",2013,8,12
"829","LGA",2013,6,25
"830","JFK",2013,8,3
"831","JFK",2013,10,12
"832","JFK",2013,6,25
"833","JFK",2013,8,16
"834","LGA",2013,4,19
"835","LGA",2013,11,13
"836","LGA",2013,3,14
"837","LGA",2013,3,5
"838","JFK",2013,1,30
"839","LGA",2013,3,19
"840","LGA",2013,3,22
"841","EWR",2013,12,29
"842","EWR",2013,10,3
"843","EWR",2013,8,12
"844","JFK",2013,1,1
"845","JFK",2013,4,11
"846","JFK",2013,10,11
"847","JFK",2013,10,29
"848","JFK",2013,12,11
"849","JFK",2013,1,16
"850","EWR",2013,2,8
"851","JFK",2013,9,28
"852","LGA",2013,4,17
"853","EWR",2013,4,24
"854","JFK",2013,3,6
"855","LGA",2013,6,6
"856","JFK",2013,8,29
"857","EWR",2013,1,18
"858","EWR",2013,5,9
"859","EWR",2013,10,3
"860","LGA",2013,3,28
"861","LGA",2013,3,13
"862","EWR",2013,8,12
"863","EWR",2013,1,26
"864","JFK",2013,2,19
"865","EWR",2013,11,23
"866","LGA",2013,12,19
"867","EWR",2013,8,13
"868","JFK",2013,5,20
"869","JFK",2013,7,16
"870","EWR",2013,4,8
"871","JFK",2013,10,10
"872","LGA",2013,6,29
"873","JFK",2013,4,11
"874","LGA",2013,11,17
"875","LGA",2013,9,24
"876","JFK",2013,8,21
"877","EWR",2013,2,25
"878","LGA",2013,12,10
"879","EWR",2013,8,1
"880","EWR",2013,5,26
"881","JFK",2013,1,28
"882","LGA",2013,2,4
"883","EWR",2013,8,7
"884","JFK",2013,4,15
"885","EWR",2013,3,15
"886","LGA",2013,6,14
"887","EWR",2013,1,16
"888","LGA",2013,2,5
"889","JFK",2013,10,31
"890","JFK",2013,9,10
"891","LGA",2013,5,5
"892","EWR",2013,11,16
"893","LGA",2013,9,21
"894","JFK",2013,3,23
"895","LGA",2013,2,1
"896","LGA",2013,7,6
"897","LGA",2013,6,6
"898","EWR",2013,1,13
"899","LGA",2013,6,26
"900","LGA",2013,10,15
"901","JFK",2013,2,22
"902","JFK",2013,1,11
"903","LGA",2013,6,3
"904","JFK",2013,11,14
"905","EWR",2013,4,4
"906","EWR",2013,8,19
"907","LGA",2013,11,15
"908","LGA",2013,4,18
"909","EWR",2013,9,23
"910","JFK",2013,3,22
"911","EWR",2013,11,20
"912","EWR",2013,4,17
"913","EWR",2013,11,18
"914","EWR",2013,9,12
"915","LGA",2013,11,22
"916","JFK",2013,2,8
"917","EWR",2013,8,4
"918","JFK",2013,11,6
"919","LGA",2013,12,23
"920","LGA",2013,4,9
"921","JFK",2013,11,29
"922","LGA",2013,3,23
"923","LGA",2013,3,6
"924","JFK",2013,12,3
"925","EWR",2013,2,12
"926","LGA",2013,1,11
"927","JFK",2013,6,13
"928","EWR",2013,10,16
"929","EWR",2013,3,20
"930","LGA",2013,11,9
"931","EWR",2013,1,30
"932","JFK",2013,12,3
"933","JFK",2013,9,18
"934","JFK",2013,5,5
"935","LGA",2013,11,30
"936","EWR",2013,9,27
"937","LGA",2013,8,5
"938","EWR",2013,7,22
"939","JFK",2013,11,26
"940","JFK",2013,9,4
"941","JFK",2013,11,26
"942","JFK",2013,9,29
"943","JFK",2013,2,22
"944","EWR",2013,5,23
"945","EWR",2013,9,23
"946","EWR",2013,3,8
"947","EWR",2013,9,15
"948","EWR",2013,10,27
"949","EWR",2013,1,27
"950","EWR",2013,7,24
"951","EWR",2013,7,9
"952","EWR",2013,8,4
"953","EWR",2013,5,11
"954","JFK",2013,5,3
"955","LGA",2013,10,16
"956","EWR",2013,1,15
"957","LGA",2013,2,14
"958","JFK",2013,3,13
"959","EWR",2013,6,3
"960","EWR",2013,5,17
"961","LGA",2013,1,2
"962","LGA",2013,3,14
"963","JFK",2013,8,26
"964","JFK",2013,3,1
"965","EWR",2013,8,3
"966","JFK",2013,4,25
"967","EWR",2013,3,5
"968","JFK",2013,12,14
"969","EWR",2013,2,12
"970","JFK",2013,2,22
"971","LGA",2013,9,26
"972","LGA",2013,11,14
"973","EWR",2013,9,4
"974","EWR",2013,11,28
"975","JFK",2013,2,26
"976","JFK",2013,6,21
"977","LGA",2013,12,8
"978","LGA",2013,7,12
"979","EWR",2013,10,20
"980","EWR",2013,4,13
"981","JFK",2013,5,25
"982","EWR",2013,3,26
"983","LGA",2013,8,29
"984","JFK",2013,2,21
"985","LGA",2013,4,29
"986","LGA",2013,6,25
"987","LGA",2013,4,3
"988","EWR",2013,1,3
"989","EWR",2013,2,5
"990","JFK",2013,3,31
"991","JFK",2013,4,10
"992","JFK",2013,3,31
"993","JFK",2013,9,21
"994","EWR",2013,12,18
